Export Start Trial Time [ms],Score,Export End Trial Time [ms],Visual Intake Count,Visual Intake Frequency [count/s],Visual Intake Duration Total [ms],Visual Intake Duration Average [ms],Visual Intake Duration Maximum [ms],Visual Intake Duration Minimum [ms],Visual Intake Dispersion Total [px],Visual Intake Dispersion Average [px],Visual Intake Dispersion Maximum [px],Visual Intake Dispersion Minimum [px],Saccade Count,Saccade Frequency [count/s],Saccade Duration Total [ms],Saccade Duration Average [ms],Saccade Duration Maximum [ms],Saccade Duration Minimum [ms],Saccade Amplitude Total [°],Saccade Amplitude Average [°],Saccade Amplitude Maximum [°],Saccade Amplitude Minimum [°],Saccade Velocity Total [°/s],Saccade Velocity Average [°/s],Saccade Velocity Maximum [°/s],Saccade Velocity Minimum [°/s],Saccade Latency Average [ms],Blink Count,Blink Frequency [count/s],Blink Duration Total [ms],Blink Duration Average [ms],Blink Duration Maximum [ms],Blink Duration Minimum [ms],Scanpath Length [px],median_split,PERCLOS
0.00,12,829718.30,1492.00,1.80,746285.90,500.20,16545.80,66.30,58867.10,39.50,1145.00,4.00,1437.00,1.70,68893.50,47.90,1028.90,16.10,0.00,0.00,0.00,0.00,560987.10,390.40,83736.40,0.40,528.70,34.00,0.00,13409.70,394.40,3352.30,165.70,137970.00,1.00,26.81
0.00,12,449037.10,982.00,2.20,400792.20,408.10,15217.90,83.10,32676.70,33.30,369.50,5.20,937.00,2.10,36477.70,38.90,298.60,16.00,0.00,0.00,0.00,0.00,69681.00,74.40,5829.80,0.60,424.50,43.00,0.10,11734.10,272.90,729.90,149.10,94863.00,1.00,28.75
0.00,12,28942.40,77.00,2.70,20858.70,270.90,979.30,82.80,4471.50,58.10,326.90,13.20,71.00,2.50,6374.20,89.80,963.10,16.30,285.10,4.00,24.60,0.00,5075.70,71.50,271.10,2.30,317.40,5.00,0.20,1676.30,335.30,614.00,199.30,8729.00,1.00,6.19
0.00,12,437752.50,828.00,1.90,399239.70,482.20,3800.30,82.50,19644.60,23.70,264.00,3.00,774.00,1.80,28669.20,37.00,365.10,16.10,0.00,0.00,0.00,0.00,87614.90,113.20,30926.10,0.40,528.50,50.00,0.10,9710.70,194.20,381.70,149.20,48233.00,1.00,20.14
0.00,12,496815.50,1266.00,2.50,417218.00,329.60,3484.90,83.20,34440.70,27.20,435.10,3.10,1133.00,2.30,51950.50,45.90,282.10,16.20,0.00,0.00,0.00,0.00,461933.30,407.70,252740.50,0.10,390.80,107.00,0.20,25422.70,237.60,3650.80,99.40,131190.00,1.00,77.13
0.00,9,37688.00,87.00,2.30,33539.70,385.50,2456.20,83.00,1318.20,15.20,54.10,3.70,82.00,2.20,3251.70,39.70,116.10,15.70,211.70,2.60,11.30,0.00,4426.20,54.00,168.70,2.10,422.10,5.00,0.10,896.70,179.30,199.40,149.40,6416.00,0.00,2.33
0.00,9,465997.60,841.00,1.80,426280.40,506.90,8115.20,82.80,13852.80,16.50,138.80,4.10,794.00,1.70,29313.20,36.90,215.70,16.20,1558.80,2.00,14.60,0.00,36937.70,46.50,2330.00,0.00,546.50,47.00,0.10,10404.00,221.40,398.30,149.40,52961.00,0.00,20.52
0.00,15,483920.80,855.00,1.80,265659.10,310.70,2887.90,49.70,36946.10,43.20,5970.60,0.00,549.00,1.10,34884.70,63.50,647.00,16.20,0.00,0.00,0.00,0.00,54959.10,100.10,2556.30,0.00,813.00,232.00,0.50,178448.90,769.20,10969.80,116.00,125280.00,1.00,574.34
0.00,15,94361.40,111.00,1.20,59592.80,536.90,3750.70,99.40,6756.40,60.90,357.10,5.20,92.00,1.00,26188.00,284.70,15765.30,16.20,0.00,0.00,0.00,0.00,22365.90,243.10,13495.30,1.10,746.10,15.00,0.20,8264.70,551.00,4746.20,165.80,16959.00,1.00,15.39
0.00,15,526819.80,156.00,0.30,20084.10,128.70,348.90,66.20,16880.20,108.20,672.50,11.70,95.00,0.20,59076.90,621.90,7849.60,16.40,0.00,0.00,0.00,0.00,152694.30,1607.30,19703.50,20.70,4976.00,61.00,0.10,447642.50,7338.40,82528.50,414.50,91159.00,1.00,3478.19
0.00,15,434733.00,815.00,1.90,358104.30,439.40,6704.60,33.00,32937.50,40.40,3819.30,0.00,611.00,1.40,40167.20,65.70,1427.00,15.30,0.00,0.00,0.00,0.00,106298.30,174.00,42061.70,0.00,645.00,65.00,0.10,28197.10,433.80,2041.20,132.60,75074.00,1.00,64.17
0.00,11,881097.60,1671.00,1.90,752911.30,450.60,4729.80,66.40,47472.20,28.40,845.50,3.40,1449.00,1.60,58573.20,40.40,647.00,16.20,0.00,0.00,0.00,0.00,67341.90,46.50,4686.70,0.20,567.80,208.00,0.20,68683.80,330.20,3202.70,149.40,94857.00,0.00,152.43
0.00,11,474079.70,1002.00,2.10,408577.00,407.80,10554.70,99.40,19208.10,19.20,232.00,2.70,957.00,2.00,38468.80,40.20,298.40,16.20,0.00,0.00,0.00,0.00,58076.20,60.70,2411.40,0.00,439.40,43.00,0.10,26867.80,624.80,15400.40,132.90,85776.00,0.00,65.88
0.00,9,479174.40,1210.00,2.50,366792.10,303.10,5974.40,66.40,16904.00,14.00,256.40,2.80,852.00,1.80,29913.70,35.10,215.70,16.10,1351.00,1.60,15.80,0.00,31896.40,37.40,726.40,0.40,514.40,358.00,0.70,82468.60,230.40,9227.00,149.30,70105.00,0.00,272.08
0.00,7,104567.50,260.00,2.50,61237.70,235.50,1062.00,82.70,14686.70,56.50,288.80,5.20,226.00,2.20,25057.40,110.90,1244.60,16.20,0.00,0.00,0.00,0.00,14908.50,66.00,461.90,0.20,350.50,16.00,0.20,17740.50,1108.80,4812.50,249.20,27663.00,0.00,75.33
0.00,7,395085.70,188.00,0.50,41310.80,219.70,3335.80,66.30,37660.10,200.30,9584.20,0.00,129.00,0.30,58279.00,451.80,3037.00,16.20,0.00,0.00,0.00,0.00,447507.10,3469.00,164855.20,0.00,2631.30,50.00,0.10,295031.30,5900.60,28859.20,298.90,162041.00,0.00,1342.88
0.00,9,439445.40,1180.00,2.70,352754.00,298.90,1692.60,83.00,22506.60,19.10,197.30,3.40,1003.00,2.30,44059.70,43.90,265.50,16.20,2924.30,2.90,23.30,0.00,66628.70,66.40,2502.20,0.20,394.20,178.00,0.40,42631.70,239.50,563.90,148.90,102788.00,0.00,142.63
